Results of 
DepthFilter: -10000.0 - 0.0 meters
	
- - - - - - - - - - - - - - - - - - - -

(58.25, -155.14), mag = -1.30, depth = -3540.00, title = 101km ESE of King Salmon, Alaska
(58.47, -154.88), mag = -0.50, depth = -3670.00, title = 106km ESE of King Salmon, Alaska
(58.30, -154.99), mag = -0.50, depth = -3130.00, title = 103km NW of Larsen Bay, Alaska
(58.31, -155.00), mag = -0.50, depth = -2730.00, title = 104km NW of Larsen Bay, Alaska
(52.08, -176.14), mag = -0.50, depth = -5340.00, title = 42km ENE of Adak, Alaska
(52.08, -176.13), mag = -0.50, depth = -940.00, title = 42km ENE of Adak, Alaska
(52.06, -176.07), mag = -0.50, depth = -6410.00, title = 45km ENE of Adak, Alaska
(52.05, -176.13), mag = -0.50, depth = -4080.00, title = 41km ENE of Adak, Alaska
(52.07, -176.05), mag = -0.40, depth = -4510.00, title = 46km ENE of Adak, Alaska
(52.07, -176.06), mag = -0.40, depth = -3250.00, title = 46km ENE of Adak, Alaska
(53.75, -166.73), mag = -0.40, depth = -6240.00, title = 18km SW of Unalaska, Alaska
(53.73, -166.74), mag = -0.40, depth = -4620.00, title = 21km SW of Unalaska, Alaska
(52.06, -176.07), mag = -0.40, depth = -9900.00, title = 45km ENE of Adak, Alaska
(52.08, -176.14), mag = -0.40, depth = -2080.00, title = 42km ENE of Adak, Alaska
(58.20, -155.29), mag = -0.40, depth = -2830.00, title = 97km ESE of King Salmon, Alaska
(58.20, -155.33), mag = -0.40, depth = -1400.00, title = 95km SE of King Salmon, Alaska
(52.07, -176.11), mag = -0.40, depth = -1390.00, title = 42km ENE of Adak, Alaska
(52.08, -176.12), mag = -0.40, depth = -2380.00, title = 42km ENE of Adak, Alaska
(58.26, -155.55), mag = -0.40, depth = -7900.00, title = 80km SE of King Salmon, Alaska
(52.07, -176.13), mag = -0.40, depth = -1890.00, title = 41km ENE of Adak, Alaska
(52.07, -176.08), mag = -0.40, depth = -8180.00, title = 44km ENE of Adak, Alaska
(52.07, -176.13), mag = -0.40, depth = -2210.00, title = 41km ENE of Adak, Alaska
(52.07, -176.13), mag = -0.40, depth = -1860.00, title = 42km ENE of Adak, Alaska
(52.07, -176.13), mag = -0.40, depth = -2600.00, title = 42km ENE of Adak, Alaska
(52.06, -176.12), mag = -0.40, depth = -2030.00, title = 41km ENE of Adak, Alaska
(52.05, -176.12), mag = -0.40, depth = -3400.00, title = 41km ENE of Adak, Alaska
(58.42, -154.76), mag = -0.40, depth = -6800.00, title = 108km NNW of Larsen Bay, Alaska
(52.06, -176.15), mag = -0.40, depth = -1710.00, title = 40km ENE of Adak, Alaska
(58.27, -155.15), mag = -0.40, depth = -5480.00, title = 99km ESE of King Salmon, Alaska
(58.18, -155.35), mag = -0.30, depth = -2470.00, title = 95km SE of King Salmon, Alaska
(52.07, -176.12), mag = -0.30, depth = -2960.00, title = 42km ENE of Adak, Alaska
(52.07, -176.12), mag = -0.30, depth = 0.00, title = 42km ENE of Adak, Alaska
(52.05, -176.13), mag = -0.30, depth = -3760.00, title = 41km ENE of Adak, Alaska
(58.43, -154.77), mag = -0.30, depth = -6950.00, title = 109km NNW of Larsen Bay, Alaska
(52.07, -176.10), mag = -0.30, depth = -7780.00, title = 43km ENE of Adak, Alaska
(58.30, -154.98), mag = -0.30, depth = -2300.00, title = 103km NW of Larsen Bay, Alaska
(58.28, -154.99), mag = -0.30, depth = -3500.00, title = 102km NW of Larsen Bay, Alaska
(64.49, -147.01), mag = -0.20, depth = -1000.00, title = 6km SW of Salcha, Alaska
(52.09, -176.12), mag = -0.20, depth = -2060.00, title = 43km ENE of Adak, Alaska
(52.06, -176.12), mag = -0.20, depth = -2970.00, title = 42km ENE of Adak, Alaska
(52.07, -176.13), mag = -0.20, depth = -2950.00, title = 42km ENE of Adak, Alaska
(52.06, -176.12), mag = -0.20, depth = -1740.00, title = 42km ENE of Adak, Alaska
(52.07, -176.11), mag = -0.20, depth = -2090.00, title = 42km ENE of Adak, Alaska
(51.85, -177.77), mag = -0.20, depth = -6140.00, title = 25km E of Tanaga Volcano, Alaska
(52.05, -176.09), mag = -0.20, depth = -7690.00, title = 43km ENE of Adak, Alaska
(52.07, -176.11), mag = -0.20, depth = 0.00, title = 43km ENE of Adak, Alaska
(60.56, -152.53), mag = -0.20, depth = -5450.00, title = 14km NE of Redoubt Volcano, Alaska
(52.05, -176.12), mag = -0.20, depth = -3400.00, title = 41km ENE of Adak, Alaska
(52.07, -176.14), mag = -0.20, depth = -1870.00, title = 41km ENE of Adak, Alaska
(54.18, -166.04), mag = -0.10, depth = -6540.00, title = 18km WNW of Akutan, Alaska
(58.27, -155.03), mag = -0.10, depth = -3890.00, title = 102km NW of Larsen Bay, Alaska
(52.08, -176.12), mag = -0.10, depth = -3930.00, title = 43km ENE of Adak, Alaska
(54.18, -166.04), mag = -0.10, depth = -6650.00, title = 18km WNW of Akutan, Alaska
(52.07, -176.13), mag = -0.10, depth = -2300.00, title = 42km ENE of Adak, Alaska
(58.28, -154.99), mag = -0.10, depth = -3260.00, title = 101km NW of Larsen Bay, Alaska
(53.88, -166.94), mag = -0.10, depth = -9870.00, title = 26km W of Dutch Harbor, Alaska
(53.85, -166.79), mag = -0.00, depth = -8420.00, title = 16km W of Unalaska, Alaska
(53.85, -166.79), mag = -0.00, depth = -8470.00, title = 16km W of Unalaska, Alaska
(52.07, -176.12), mag = -0.00, depth = -510.00, title = 42km ENE of Adak, Alaska
(52.05, -176.11), mag = -0.00, depth = -140.00, title = 42km ENE of Adak, Alaska
(52.06, -176.13), mag = -0.00, depth = -2310.00, title = 41km ENE of Adak, Alaska
(52.07, -176.13), mag = -0.00, depth = -2640.00, title = 41km ENE of Adak, Alaska
(52.06, -176.14), mag = -0.00, depth = -2870.00, title = 40km ENE of Adak, Alaska
(52.06, -176.13), mag = -0.00, depth = -1630.00, title = 41km ENE of Adak, Alaska
(52.04, -176.12), mag = -0.00, depth = -5670.00, title = 41km ENE of Adak, Alaska
(52.05, -176.12), mag = -0.00, depth = -3440.00, title = 41km ENE of Adak, Alaska
(52.08, -176.04), mag = 0.00, depth = -5120.00, title = 47km ENE of Adak, Alaska
(52.07, -176.12), mag = 0.00, depth = -1910.00, title = 42km ENE of Adak, Alaska
(51.79, -177.53), mag = 0.00, depth = -4990.00, title = 43km ESE of Tanaga Volcano, Alaska
(58.26, -154.89), mag = 0.00, depth = -1930.00, title = 96km NNW of Larsen Bay, Alaska
(52.04, -176.08), mag = 0.00, depth = -6960.00, title = 43km ENE of Adak, Alaska
(58.19, -155.32), mag = 0.00, depth = -1830.00, title = 96km SE of King Salmon, Alaska
(53.73, -166.74), mag = 0.10, depth = -5850.00, title = 20km SW of Unalaska, Alaska
(58.50, -154.54), mag = 0.10, depth = -5450.00, title = 111km NNW of Larsen Bay, Alaska
(58.17, -155.39), mag = 0.10, depth = -3760.00, title = 94km SE of King Salmon, Alaska
(58.30, -155.82), mag = 0.10, depth = -7150.00, title = 65km SE of King Salmon, Alaska
(52.07, -176.12), mag = 0.10, depth = -1990.00, title = 42km ENE of Adak, Alaska
(61.30, -152.30), mag = 0.10, depth = -4100.00, title = 86km NW of Nikiski, Alaska
(58.19, -155.25), mag = 0.20, depth = -1920.00, title = 99km ESE of King Salmon, Alaska
(51.86, -177.80), mag = 0.20, depth = -7530.00, title = 23km E of Tanaga Volcano, Alaska
(52.07, -176.13), mag = 0.20, depth = -2130.00, title = 41km ENE of Adak, Alaska
(61.30, -152.30), mag = 0.20, depth = -1300.00, title = 87km NW of Nikiski, Alaska
(51.85, -177.82), mag = 0.30, depth = -2990.00, title = 22km E of Tanaga Volcano, Alaska
(52.03, -176.09), mag = 0.30, depth = -7310.00, title = 42km ENE of Adak, Alaska
(64.76, -148.51), mag = 0.30, depth = -400.00, title = 25km WSW of Ester, Alaska
(52.40, -174.16), mag = 0.30, depth = -3940.00, title = 22km N of Atka, Alaska
(52.06, -176.13), mag = 0.30, depth = -2460.00, title = 41km ENE of Adak, Alaska
(61.30, -152.26), mag = 0.30, depth = -3400.00, title = 86km NW of Nikiski, Alaska
(51.86, -177.77), mag = 0.40, depth = -5310.00, title = 25km E of Tanaga Volcano, Alaska
(51.85, -177.77), mag = 0.40, depth = -2770.00, title = 26km E of Tanaga Volcano, Alaska
(52.07, -176.11), mag = 0.40, depth = -4160.00, title = 43km ENE of Adak, Alaska
(52.07, -176.11), mag = 0.40, depth = -1770.00, title = 43km ENE of Adak, Alaska
(52.07, -176.13), mag = 0.40, depth = -4820.00, title = 42km ENE of Adak, Alaska
(52.04, -176.12), mag = 0.40, depth = -5690.00, title = 41km ENE of Adak, Alaska
(52.07, -176.11), mag = 0.50, depth = -4270.00, title = 43km ENE of Adak, Alaska
(52.06, -176.11), mag = 0.50, depth = -3560.00, title = 42km ENE of Adak, Alaska
(52.07, -176.13), mag = 0.50, depth = -1940.00, title = 41km ENE of Adak, Alaska
(52.07, -176.11), mag = 0.60, depth = -1720.00, title = 42km ENE of Adak, Alaska
(52.08, -176.13), mag = 0.60, depth = -2610.00, title = 42km ENE of Adak, Alaska
(52.07, -176.12), mag = 0.60, depth = -20.00, title = 42km ENE of Adak, Alaska
(52.08, -176.12), mag = 0.60, depth = -80.00, title = 42km ENE of Adak, Alaska
(52.07, -176.12), mag = 0.60, depth = -3190.00, title = 42km ENE of Adak, Alaska
(58.36, -154.64), mag = 0.60, depth = 0.00, title = 109km NNW of Larsen Bay, Alaska
(51.86, -177.81), mag = 0.70, depth = -4510.00, title = 22km E of Tanaga Volcano, Alaska
(52.06, -176.11), mag = 0.70, depth = -2590.00, title = 42km ENE of Adak, Alaska
(52.07, -176.12), mag = 0.70, depth = -3580.00, title = 42km ENE of Adak, Alaska
(51.85, -177.75), mag = 0.80, depth = -4990.00, title = 27km E of Tanaga Volcano, Alaska
(52.07, -176.11), mag = 0.80, depth = -4290.00, title = 43km ENE of Adak, Alaska
(52.07, -176.12), mag = 0.80, depth = -4580.00, title = 43km ENE of Adak, Alaska
(58.29, -154.99), mag = 0.80, depth = -3000.00, title = 102km NW of Larsen Bay, Alaska
(64.48, -146.98), mag = 0.90, depth = -7100.00, title = 6km SW of Salcha, Alaska
(51.86, -177.78), mag = 0.90, depth = -4990.00, title = 24km E of Tanaga Volcano, Alaska
(64.57, -149.81), mag = 0.90, depth = -8100.00, title = 33km W of North Nenana, Alaska
(52.07, -176.13), mag = 0.90, depth = -2250.00, title = 42km ENE of Adak, Alaska
(61.31, -152.25), mag = 0.90, depth = -790.00, title = 86km NW of Nikiski, Alaska
(58.16, -155.38), mag = 1.00, depth = -3070.00, title = 95km SE of King Salmon, Alaska
(52.07, -176.12), mag = 1.00, depth = -4090.00, title = 42km ENE of Adak, Alaska
(63.46, -150.21), mag = 1.10, depth = -5900.00, title = 63km W of Cantwell, Alaska
(52.06, -176.12), mag = 1.10, depth = -3550.00, title = 42km ENE of Adak, Alaska
(58.17, -155.33), mag = 1.10, depth = -1950.00, title = 97km SE of King Salmon, Alaska
(61.05, -149.21), mag = 1.10, depth = -7800.00, title = 41km ESE of Anchorage, Alaska
(65.02, -147.49), mag = 1.20, depth = 0.00, title = 23km NNE of Fairbanks, Alaska
(63.69, -148.62), mag = 1.20, depth = -9300.00, title = 25km SE of Healy, Alaska
(64.93, -147.29), mag = 1.20, depth = 0.00, title = 18km NE of Badger, Alaska
(64.93, -147.29), mag = 1.20, depth = 0.00, title = 18km NE of Badger, Alaska
(65.83, -150.81), mag = 1.30, depth = -800.00, title = 92km N of Manley Hot Springs, Alaska
(64.96, -147.30), mag = 1.30, depth = -1100.00, title = 21km NNE of Badger, Alaska
(63.18, -151.13), mag = 1.30, depth = 0.00, title = 108km NNW of Talkeetna, Alaska
(64.89, -149.11), mag = 1.30, depth = -1100.00, title = 34km N of North Nenana, Alaska
(58.20, -155.27), mag = 1.30, depth = 0.00, title = 97km ESE of King Salmon, Alaska
(64.18, -148.35), mag = 1.30, depth = -900.00, title = 46km NE of Healy, Alaska
(51.86, -177.81), mag = 1.30, depth = -4620.00, title = 22km E of Tanaga Volcano, Alaska
(63.37, -145.89), mag = 1.40, depth = -4100.00, title = 65km SSW of Deltana, Alaska
(62.56, -151.32), mag = 1.40, depth = 0.00, title = 67km WNW of Talkeetna, Alaska
(63.12, -151.43), mag = 1.40, depth = -100.00, title = 111km NW of Talkeetna, Alaska
(61.14, -147.03), mag = 1.40, depth = 0.00, title = Ice Quake - 36km W of Valdez, Alaska
(69.57, -144.23), mag = 1.40, depth = -5000.00, title = 67km SSW of Kaktovik, Alaska
(64.82, -148.98), mag = 1.40, depth = -9400.00, title = 28km NNE of North Nenana, Alaska
(51.86, -177.81), mag = 1.40, depth = -6740.00, title = 22km E of Tanaga Volcano, Alaska
(64.88, -147.60), mag = 1.40, depth = -8300.00, title = 7km NE of Fairbanks, Alaska
(62.80, -151.88), mag = 1.40, depth = -3400.00, title = 105km WNW of Talkeetna, Alaska
(51.63, -178.52), mag = 1.40, depth = -6600.00, title = 39km SW of Tanaga Volcano, Alaska
(65.79, -150.98), mag = 1.40, depth = -8600.00, title = 85km NE of Tanana, Alaska
(60.99, -146.52), mag = 1.40, depth = -9800.00, title = 17km SSW of Valdez, Alaska
(64.41, -147.35), mag = 1.40, depth = -4600.00, title = 24km WSW of Salcha, Alaska
(66.27, -157.23), mag = 1.50, depth = -7800.00, title = 72km SSW of Kobuk, Alaska
(65.71, -149.96), mag = 1.50, depth = -5500.00, title = 85km NNE of Manley Hot Springs, Alaska
(65.78, -146.21), mag = 1.50, depth = -2500.00, title = 77km WNW of Circle Hot Springs Station, Alaska
(51.84, -177.77), mag = 1.50, depth = -6300.00, title = 26km ESE of Tanaga Volcano, Alaska
(60.17, -141.37), mag = 1.50, depth = 0.00, title = Ice Quake - 59km E of Cape Yakataga, Alaska
(63.53, -147.30), mag = 1.50, depth = -1500.00, title = 83km ENE of Cantwell, Alaska
(59.99, -139.57), mag = 1.50, depth = -4300.00, title = 49km N of Yakutat, Alaska
(52.07, -176.11), mag = 1.50, depth = -4250.00, title = 43km ENE of Adak, Alaska
(63.42, -151.54), mag = 1.50, depth = -9100.00, title = 129km W of Cantwell, Alaska
(63.52, -145.55), mag = 1.50, depth = -8200.00, title = 42km SSW of Deltana, Alaska
(60.18, -142.07), mag = 1.50, depth = -8400.00, title = 23km ENE of Cape Yakataga, Alaska
(63.29, -151.76), mag = 1.50, depth = -7600.00, title = 136km NW of Talkeetna, Alaska
(63.50, -147.84), mag = 1.50, depth = -2800.00, title = 56km ENE of Cantwell, Alaska
(65.03, -152.18), mag = 1.60, depth = 0.00, title = 17km SSW of Tanana, Alaska
(62.56, -152.33), mag = 1.60, depth = -5400.00, title = 117km WNW of Talkeetna, Alaska
(62.03, -148.52), mag = 1.60, depth = -5000.00, title = 31km NE of Sutton-Alpine, Alaska
(65.33, -145.06), mag = 1.60, depth = -1100.00, title = 23km SW of Circle Hot Springs Station, Alaska
(52.71, -169.46), mag = 1.60, depth = -9940.00, title = 47km WSW of Nikolski, Alaska
(60.25, -139.56), mag = 1.60, depth = 0.00, title = 78km N of Yakutat, Alaska
(62.68, -151.23), mag = 1.60, depth = -1500.00, title = 70km NW of Talkeetna, Alaska
(66.29, -157.19), mag = 1.60, depth = -2300.00, title = 70km SSW of Kobuk, Alaska
(66.31, -157.34), mag = 1.60, depth = -2400.00, title = 69km SSW of Kobuk, Alaska
(63.29, -151.80), mag = 1.60, depth = -5200.00, title = 137km NW of Talkeetna, Alaska
(63.44, -151.23), mag = 1.60, depth = -200.00, title = 113km W of Cantwell, Alaska
(64.00, -148.82), mag = 1.60, depth = -1700.00, title = 17km NNE of Healy, Alaska
(62.66, -151.70), mag = 1.60, depth = -3900.00, title = 90km WNW of Talkeetna, Alaska
(65.01, -147.36), mag = 1.60, depth = -3600.00, title = 25km NE of Fairbanks, Alaska
(65.21, -152.08), mag = 1.60, depth = -3100.00, title = 4km N of Tanana, Alaska
(65.68, -151.00), mag = 1.70, depth = -1300.00, title = 75km NE of Tanana, Alaska
(60.20, -139.60), mag = 1.70, depth = 0.00, title = 72km N of Yakutat, Alaska
(62.57, -152.39), mag = 1.70, depth = -100.00, title = 121km WNW of Talkeetna, Alaska
(63.49, -146.60), mag = 1.70, depth = 0.00, title = 74km SW of Delta Junction, Alaska
(60.03, -141.43), mag = 1.70, depth = -6200.00, title = 56km E of Cape Yakataga, Alaska
(65.10, -152.24), mag = 1.70, depth = 0.00, title = 11km SW of Tanana, Alaska
(51.86, -177.79), mag = 1.70, depth = -2860.00, title = 24km E of Tanaga Volcano, Alaska
(63.42, -151.08), mag = 1.70, depth = 0.00, title = 106km W of Cantwell, Alaska
(58.25, -154.90), mag = 1.80, depth = -1200.00, title = 96km NW of Larsen Bay, Alaska
(63.64, -148.85), mag = 1.80, depth = 0.00, title = 24km SSE of Healy, Alaska
(65.58, -143.77), mag = 1.80, depth = 0.00, title = 30km SSE of Circle, Alaska
(63.33, -145.08), mag = 1.80, depth = -3500.00, title = 60km S of Deltana, Alaska
(65.38, -153.27), mag = 1.80, depth = 0.00, title = 60km WNW of Tanana, Alaska
(60.48, -142.92), mag = 1.90, depth = -3900.00, title = 53km NNW of Cape Yakataga, Alaska
(51.64, -178.44), mag = 1.90, depth = -8400.00, title = 34km SW of Tanaga Volcano, Alaska
(59.59, -136.02), mag = 1.90, depth = 0.00, title = 42km WNW of Skagway, Alaska
(65.07, -162.70), mag = 1.90, depth = 0.00, title = 143km ENE of Nome, Alaska
(57.04, -155.51), mag = 2.00, depth = -6300.00, title = 107km WSW of Larsen Bay, Alaska
(66.28, -157.25), mag = 2.00, depth = -7200.00, title = 72km SSW of Kobuk, Alaska
(52.06, -176.12), mag = 2.00, depth = -2760.00, title = 42km ENE of Adak, Alaska
(63.30, -151.66), mag = 2.00, depth = -5100.00, title = 134km NW of Talkeetna, Alaska
(59.22, -155.33), mag = 2.00, depth = 0.00, title = 63km SSW of Old Iliamna, Alaska
(60.85, -146.23), mag = 2.00, depth = -8300.00, title = 31km SSE of Valdez, Alaska
(63.31, -145.16), mag = 2.10, depth = -5800.00, title = 62km S of Deltana, Alaska
(67.79, -150.42), mag = 2.10, depth = 0.00, title = 60km N of Coldfoot, Alaska
(59.95, -140.74), mag = 2.10, depth = -8000.00, title = 72km NW of Yakutat, Alaska
(63.34, -144.64), mag = 2.10, depth = 0.00, title = 66km SSE of Deltana, Alaska
(65.69, -155.00), mag = 2.20, depth = -4800.00, title = 108km NNE of Ruby, Alaska
(69.03, -144.76), mag = 2.20, depth = 0.00, title = 105km NNE of Arctic Village, Alaska
(60.28, -139.64), mag = 2.20, depth = 0.00, title = 82km N of Yakutat, Alaska
(63.06, -151.49), mag = 2.20, depth = -2800.00, title = 108km NW of Talkeetna, Alaska
(62.77, -147.75), mag = 2.30, depth = 0.00, title = 91km SE of Cantwell, Alaska
(63.34, -145.08), mag = 2.50, depth = -900.00, title = 59km S of Deltana, Alaska
(62.25, -150.61), mag = 2.60, depth = -1600.00, title = 22km WSW of Talkeetna, Alaska
(56.40, -157.26), mag = 2.60, depth = -3000.00, title = 94km E of Chignik Lake, Alaska
(67.39, -163.89), mag = 2.70, depth = 0.00, title = 38km WSW of Noatak, Alaska
(58.71, -137.65), mag = 2.70, depth = -5000.00, title = 115km WNW of Gustavus, Alaska
(61.49, -151.85), mag = 2.80, depth = 0.00, title = 96km NNW of Nikiski, Alaska
(69.06, -144.48), mag = 2.80, depth = 0.00, title = 112km SSW of Kaktovik, Alaska
(69.59, -144.76), mag = 3.00, depth = -6800.00, title = 72km SSW of Kaktovik, Alaska
(69.21, -144.40), mag = 3.20, depth = 0.00, title = 115km SSW of Kaktovik, Alaska
(52.05, -176.12), mag = 4.00, depth = -10000.00, title = 41km ENE of Adak, Alaska
(25.84, 96.76), mag = 4.40, depth = -10000.00, title = 81km NW of Myitkyina, Burma
(38.79, -122.76), mag = -0.40, depth = -2110.00, title = 1km NNW of The Geysers, CA
(35.85, -117.67), mag = -0.40, depth = -7120.00, title = 23km ESE of Little Lake, CA
(37.62, -118.88), mag = -0.30, depth = -600.00, title = 9km ESE of Mammoth Lakes, CA
(38.79, -122.77), mag = -0.20, depth = -1510.00, title = 2km NW of The Geysers, CA
(37.61, -118.93), mag = -0.20, depth = -1520.00, title = 6km ESE of Mammoth Lakes, CA
(38.80, -122.75), mag = -0.20, depth = -1910.00, title = 3km N of The Geysers, CA
(36.02, -117.77), mag = -0.20, depth = -2060.00, title = 15km NE of Little Lake, CA
(37.66, -118.91), mag = -0.10, depth = -3780.00, title = 7km ENE of Mammoth Lakes, CA
(38.76, -122.71), mag = -0.10, depth = -1440.00, title = 3km SW of Anderson Springs, CA
(35.68, -117.54), mag = -0.10, depth = -9520.00, title = 14km ENE of Ridgecrest, CA
(38.76, -122.73), mag = -0.10, depth = -2540.00, title = 3km SE of The Geysers, CA
(35.56, -117.45), mag = -0.10, depth = -9830.00, title = 22km ESE of Ridgecrest, CA
(38.79, -122.73), mag = -0.10, depth = -1810.00, title = 2km ENE of The Geysers, CA
(37.62, -118.86), mag = -0.00, depth = -2900.00, title = 11km E of Mammoth Lakes, CA
(35.90, -117.68), mag = -0.00, depth = -2220.00, title = 20km E of Little Lake, CA
(36.01, -117.80), mag = -0.00, depth = -2620.00, title = 12km NE of Little Lake, CA
(33.51, -116.73), mag = 0.00, depth = -1260.00, title = 7km SW of Anza, CA
(36.01, -117.80), mag = 0.00, depth = -1610.00, title = 12km NE of Little Lake, CA
(33.57, -116.66), mag = 0.00, depth = -4150.00, title = 2km NE of Anza, CA
(38.76, -122.74), mag = 0.00, depth = -1580.00, title = 2km SE of The Geysers, CA
(35.82, -117.64), mag = 0.00, depth = -8280.00, title = 22km WNW of Searles Valley, CA
(37.65, -118.90), mag = 0.10, depth = -4270.00, title = 7km ENE of Mammoth Lakes, CA
(33.59, -116.81), mag = 0.10, depth = -5190.00, title = 13km WNW of Anza, CA
(37.59, -118.98), mag = 0.10, depth = -1120.00, title = 5km S of Mammoth Lakes, CA
(35.99, -117.70), mag = 0.10, depth = -1030.00, title = 20km ENE of Little Lake, CA
(38.80, -122.75), mag = 0.10, depth = -1800.00, title = 2km NNE of The Geysers, CA
(36.02, -120.57), mag = 0.10, depth = -4030.00, title = 18km NW of Parkfield, CA
(33.60, -116.80), mag = 0.20, depth = -5740.00, title = 13km WNW of Anza, CA
(33.49, -116.79), mag = 0.20, depth = -5390.00, title = 9km NE of Aguanga, CA
(33.49, -116.79), mag = 0.20, depth = -5600.00, title = 9km NE of Aguanga, CA
(35.95, -117.53), mag = 0.20, depth = -4130.00, title = 24km NNW of Searles Valley, CA
(35.96, -117.51), mag = 0.20, depth = -3680.00, title = 23km NNW of Searles Valley, CA
(33.45, -116.58), mag = 0.20, depth = -8850.00, title = 15km SE of Anza, CA
(37.66, -118.85), mag = 0.20, depth = -1550.00, title = 11km ENE of Mammoth Lakes, CA
(37.66, -118.85), mag = 0.20, depth = -1700.00, title = 11km ENE of Mammoth Lakes, CA
(38.82, -122.76), mag = 0.20, depth = -2160.00, title = 3km W of Cobb, CA
(38.79, -122.81), mag = 0.20, depth = -3260.00, title = 5km WNW of The Geysers, CA
(33.59, -116.81), mag = 0.20, depth = -4710.00, title = 13km WNW of Anza, CA
(38.81, -122.81), mag = 0.20, depth = -2910.00, title = 6km NW of The Geysers, CA
(37.66, -118.84), mag = 0.20, depth = -2090.00, title = 12km E of Mammoth Lakes, CA
(37.64, -118.94), mag = 0.20, depth = -5300.00, title = 3km E of Mammoth Lakes, CA
(37.53, -118.87), mag = 0.20, depth = -2020.00, title = 15km SE of Mammoth Lakes, CA
(38.81, -122.77), mag = 0.20, depth = -2090.00, title = 4km NNW of The Geysers, CA
(38.81, -122.79), mag = 0.20, depth = -2900.00, title = 5km NW of The Geysers, CA
(38.80, -122.74), mag = 0.20, depth = -890.00, title = 3km SSW of Cobb, CA
(38.83, -122.80), mag = 0.20, depth = -2070.00, title = 6km WNW of Cobb, CA
(37.53, -118.89), mag = 0.20, depth = -4090.00, title = 15km SSE of Mammoth Lakes, CA
(40.42, -121.43), mag = 0.20, depth = -7620.00, title = 14km ENE of Mineral, CA
